epoch,train_loss,train_accuracy,test_loss,test_accuracy,epoch_seconds
1,0.38197676152749493,0.878109090909091,0.46250048599243165,0.8435,76.66125512123108
2,0.16004354651407762,0.9493818181818182,0.36148430745601656,0.8787,75.13260102272034
3,0.10646539652185007,0.9654909090909091,0.37517916235923765,0.8809,75.31578278541565
4,0.08468476510698145,0.9713090909090909,0.3818504086494446,0.8836,77.74132633209229
5,0.059447799736803225,0.9813818181818181,0.327511665058136,0.9011,75.71848487854004
6,0.05299914989363064,0.9821454545454545,0.5057866735935211,0.8666,75.2619059085846
7,0.04822957365296104,0.9843636363636363,0.4693257665634155,0.882,75.52150249481201
8,0.04357040531946854,0.9861090909090909,0.41613445115089415,0.8921,75.54701399803162
9,0.03703791673332453,0.9875636363636363,0.3652182352304459,0.904,75.4286482334137
10,0.03501722004630349,0.9891272727272727,0.49769097385406497,0.8814,75.4063138961792
