epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,0.12034227712079883,0.95,0.051046490147709844,0.98,26.137012243270874
2,0.04722094731964171,0.98025,0.04934532298799604,0.981,16.357101917266846
3,0.02833583720307797,0.9905,0.0451631090042647,0.987,16.392210721969604
4,0.023388806669041515,0.99125,0.06383012425899505,0.983,16.289610147476196
5,0.014885546899866313,0.99575,0.059199003988760525,0.98,16.43306303024292
