epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,0.6859971332550049,0.559,0.6614294633865356,0.628,14.851487159729004
2,0.6642120304107666,0.5935,0.6426941132545472,0.635,14.74012541770935
3,0.656380642414093,0.60275,0.6389639134407044,0.633,14.595630168914795
4,0.6529306478500366,0.6065,0.631004741191864,0.634,14.575888633728027
5,0.6508168120384217,0.614,0.6306626973152161,0.634,14.551995277404785
