epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,0.1094581337440759,0.95425,0.03608461975306272,0.988,16.34520125389099
2,0.017179582877084612,0.9945,0.04478778271283954,0.984,16.113492250442505
3,0.007554780821548775,0.99825,0.05237656162306666,0.979,15.936769008636475
4,0.007374717813800089,0.998,0.0452462678081356,0.986,15.940121173858643
5,0.008720402110251598,0.99725,0.10627920731413178,0.972,15.998857021331787
