epoch,train_loss,train_accuracy,test_loss,test_accuracy,epoch_seconds
1,0.5813808261307803,0.8040363636363637,0.3591283794879913,0.8738,78.50056910514832
2,0.2563639141798019,0.9036727272727273,0.37555038125514983,0.8651,75.44957232475281
3,0.17027538650902835,0.9340363636363637,0.309132546544075,0.9099,75.765869140625
4,0.12798586332906375,0.9485090909090909,0.3679146334528923,0.9073,75.2709105014801
5,0.11277872645096346,0.9537454545454546,0.34412315695285794,0.9134,75.95951724052429
6,0.0914561246232553,0.9613818181818182,0.5352732493877411,0.8913,75.63280320167542
7,0.10904674424366517,0.9570181818181818,0.39661985750198364,0.9138,75.5811755657196
8,0.08084345977089621,0.9665818181818182,0.45592052972316743,0.9028,75.57949495315552
9,0.05805713807994669,0.9752727272727273,0.3910852807044983,0.9078,75.81697940826416
10,0.06879684019305489,0.9711272727272727,0.39732378301620486,0.911,75.29221725463867
